close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
19289.91000000,19500.00000000,0,18531.42000000,19401.63000000,1663977599999,5906265,1663891200000,7330336009.19099840,194842.08772000,3701394516.77361640,385886.91829000,
18920.50000000,19316.14000000,0,18805.34000000,19288.57000000,1664063999999,3907636,1663977600000,4568927983.65078460,120501.30570000,2298979763.30945220,239496.56746000,
18807.38000000,19180.21000000,0,18629.20000000,18921.99000000,1664150399999,3714450,1664064000000,3625136713.92470430,94989.39646000,1801229611.97685890,191191.44920000,
19227.82000000,19318.96000000,0,18680.72000000,18809.13000000,1664236799999,5837041,1664150400000,8356951609.99872370,220623.29914000,4198006044.88422510,439239.21943000,
19079.13000000,20385.86000000,0,18816.32000000,19226.68000000,1664323199999,8152473,1664236800000,11705770260.67216150,296727.71059000,5856646101.49598810,593260.74161000,
19412.82000000,19790.00000000,0,18471.28000000,19078.10000000,1664409599999,7357437,1664323200000,9964460007.30435550,260944.38118000,4988233394.32266180,521385.45547000,
19591.51000000,19645.52000000,0,18843.01000000,19412.82000000,1664495999999,5631615,1664409600000,7868786414.85621160,203187.57552000,3934342925.08751120,406424.93256000,
19422.61000000,20185.00000000,0,19155.36000000,19590.54000000,1664582399999,6254203,1664496000000,8694127253.57659450,220029.84583000,4304848630.33263890,444322.95340000,
19310.95000000,19484.00000000,0,19159.42000000,19422.61000000,1664668799999,2470590,1664582400000,3200350294.52686990,82734.18388000,1598688567.58656520,165625.13959000,
19056.80000000,19395.91000000,0,18920.35000000,19312.24000000,1664755199999,3320217,1664668800000,3970724799.95581670,102972.16014000,1977186000.19920470,206812.47032000,
19629.08000000,19719.10000000,0,18959.68000000,19057.74000000,1664841599999,4471910,1664755200000,5672105805.77214400,147383.93612000,2847846726.23694850,293585.75212000,
20337.82000000,20475.00000000,0,19490.60000000,19629.08000000,1664927999999,4871932,1664841600000,6533428229.85105150,165646.26490000,3309936012.94839200,327012.00127000,
20158.26000000,20365.60000000,0,19730.00000000,20337.82000000,1665014399999,4540004,1664928000000,6275437160.95807180,155249.45329000,3120338866.32575530,312239.75224000,
19960.67000000,20456.60000000,0,19853.00000000,20158.26000000,1665100799999,5085004,1665014400000,6452892402.32426970,161557.89851000,3256881316.71653890,320122.17020000,
19530.09000000,20068.82000000,0,19320.00000000,19960.67000000,1665187199999,4324772,1665100800000,4353681483.98703370,109800.49576000,2164491136.48312770,220874.83913000,
19417.96000000,19627.38000000,0,19237.14000000,19530.09000000,1665273599999,2637385,1665187200000,1995917001.73959890,50775.11492000,988952773.21633940,102480.09842000,
19439.02000000,19558.00000000,0,19316.04000000,19416.52000000,1665359999999,2833704,1665273600000,2215007204.23799070,57166.25996000,1111737800.16944170,113900.82681000,
19131.87000000,19525.00000000,0,19020.25000000,19439.96000000,1665446399999,4432688,1665360000000,4101745483.12952400,104849.40967000,2023908022.73601820,212509.09849000,
19060.00000000,19268.09000000,0,18860.00000000,19131.87000000,1665532799999,4792106,1665446400000,4642843395.60028180,121218.68324000,2311676809.24217190,243473.84286000,
19155.53000000,19238.31000000,0,18965.88000000,19060.00000000,1665619199999,4556597,1665532800000,4086903621.92655390,106608.71840000,2037738508.16163930,213826.26731000,
19375.13000000,19513.79000000,0,18190.00000000,19155.10000000,1665705599999,7470896,1665619200000,7554309475.30798620,199869.15895000,3777964473.26291180,399756.68337000,
19176.93000000,19951.87000000,0,19070.37000000,19375.58000000,1665791999999,6688310,1665705600000,6877621835.22579560,175798.36758000,3438783886.91180620,351634.32601000,
19069.39000000,19227.68000000,0,18975.18000000,19176.93000000,1665878399999,3052219,1665792000000,2178316065.62219900,56109.00376000,1073637476.76884680,113847.64232000,
19262.98000000,19425.84000000,0,19063.74000000,19068.40000000,1665964799999,3438605,1665878400000,2531545363.30770030,66536.80449000,1277129233.66074540,131894.61885000,
19549.86000000,19676.96000000,0,19152.03000000,19262.98000000,1666051199999,5162979,1665964800000,4331666395.60467430,111854.00525000,2174642989.58540480,222813.87634000,
19327.44000000,19706.66000000,0,19091.00000000,19548.48000000,1666137599999,5588482,1666051200000,5065944973.46434750,129478.25628000,2520037025.60741570,260313.07848000,
19123.97000000,19360.16000000,0,19065.97000000,19327.44000000,1666223999999,4545820,1666137600000,3575041318.44978390,92346.11007000,1773769908.88775970,186137.29538000,
19041.92000000,19347.82000000,0,18900.00000000,19123.35000000,1666310399999,5391090,1666224000000,4276025723.99478240,110662.16001000,2117089562.36447760,223530.13068000,
19164.37000000,19250.00000000,0,18650.00000000,19041.92000000,1666396799999,5679281,1666310400000,5126619487.86902100,133589.01923000,2543268174.88863470,269310.75769000,
19204.35000000,19257.00000000,0,19112.72000000,19164.37000000,1666483199999,2887106,1666396800000,2117395641.12692130,54134.08243000,1038228038.71095430,110403.90837000,
19570.40000000,19695.00000000,0,19070.11000000,19204.29000000,1666569599999,3939703,1666483200000,3233393909.20097670,84465.80483000,1635057403.33511530,167057.20184000,
19329.72000000,19601.15000000,0,19157.00000000,19570.40000000,1666655999999,5676899,1666569600000,4957159176.81683820,126808.68300000,2453987281.18596270,256168.14467000,
20080.07000000,20415.87000000,0,19237.00000000,19330.60000000,1666742399999,7214687,1666656000000,6454151276.52006910,163350.80531000,3230612090.86733450,326370.67061000,
20771.59000000,21020.00000000,0,20050.41000000,20079.02000000,1666828799999,8512349,1666742400000,7833551674.48567690,190912.96434000,3930265900.94812720,380492.69576000,
20295.11000000,20872.21000000,0,20200.00000000,20771.61000000,1666915199999,7748080,1666828800000,6771209922.01191690,163139.47991000,3361632657.41389340,328643.57791000,
20591.84000000,20750.00000000,0,20000.09000000,20295.11000000,1667001599999,6638096,1666915200000,5849603405.68257480,143078.25276000,2915977522.58249740,287039.94569000,
20809.67000000,21085.00000000,0,20554.01000000,20591.84000000,1667087999999,6255599,1667001600000,5303038321.45748340,127941.56356000,2662029299.90963940,254881.77755000,
20627.48000000,20931.21000000,0,20515.00000000,20809.68000000,1667174399999,4920007,1667088000000,3994389493.32589140,96047.94574000,1990076844.63314990,192795.60886000,
