close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42270.99000000,42649.00000000,0,42073.87000000,42554.89000000,1705273199999,63207,1705269600000,68152106.44702340,859.30749000,36389309.93732690,1609.15241000,
41732.35000000,42316.00000000,0,41720.00000000,42271.00000000,1705276799999,103730,1705273200000,173709879.66751170,1884.78439000,79041406.56418120,4142.13312000,
42279.75000000,42353.94000000,0,41718.05000000,41732.35000000,1705280399999,66725,1705276800000,102456168.22559890,1348.93805000,56779695.64663060,2433.52283000,
42275.18000000,42398.73000000,0,42176.28000000,42279.76000000,1705283999999,47611,1705280400000,59385685.45220240,821.97918000,34749537.50398190,1404.64040000,
42399.72000000,42411.62000000,0,42194.12000000,42275.17000000,1705287599999,36777,1705284000000,35959618.58508060,482.46314000,20408786.56099110,850.09544000,
42565.99000000,42640.00000000,0,42389.27000000,42399.71000000,1705291199999,48818,1705287600000,48484995.76579560,652.75687000,27756339.07928150,1140.03904000,
42591.77000000,42634.00000000,0,42499.01000000,42565.99000000,1705294799999,36551,1705291200000,46426536.36037720,525.68720000,22377956.99733530,1090.60435000,
42739.85000000,42824.68000000,0,42569.73000000,42591.76000000,1705298399999,53387,1705294800000,51829982.46248580,691.42212000,29525278.64478170,1213.71533000,
42651.10000000,42797.06000000,0,42612.00000000,42739.85000000,1705301999999,42801,1705298400000,42105623.32043850,502.49761000,21457621.59102150,985.96635000,
42714.78000000,42764.00000000,0,42513.14000000,42651.09000000,1705305599999,43610,1705302000000,46604268.82283230,447.47389000,19078138.74274030,1093.23136000,
42680.44000000,42775.00000000,0,42641.10000000,42714.78000000,1705309199999,42019,1705305600000,46230418.66728280,556.22902000,23750824.40863070,1082.69198000,
42750.88000000,42762.11000000,0,42585.86000000,42680.43000000,1705312799999,42836,1705309200000,41220447.97141510,459.21504000,19596612.84705110,966.05532000,
