close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42944.54000000,42952.60000000,0,42944.54000000,42952.59000000,1707039779999,847,1707039720000,445685.11740870,3.53234000,151703.44971180,10.37729000,
42932.30000000,42944.55000000,0,42932.29000000,42944.54000000,1707039839999,944,1707039780000,492588.60827350,5.60731000,240778.45720870,11.47167000,
42922.54000000,42932.30000000,0,42912.16000000,42932.30000000,1707039899999,769,1707039840000,636502.26652250,4.50527000,193356.44045610,14.82962000,
42943.75000000,42943.76000000,0,42922.54000000,42922.54000000,1707039959999,374,1707039900000,276983.84409330,4.92303000,211350.41341420,6.45182000,
42944.33000000,42944.34000000,0,42943.75000000,42943.76000000,1707040019999,220,1707039960000,227118.92612420,3.34397000,143603.07883400,5.28872000,
42951.61000000,42951.62000000,0,42944.33000000,42944.34000000,1707040079999,310,1707040020000,362289.02934180,5.65682000,242944.86399210,8.43585000,
42954.42000000,42964.54000000,0,42951.61000000,42951.62000000,1707040139999,551,1707040080000,502713.24300670,2.76007000,118572.51981260,11.70129000,
42951.10000000,42954.43000000,0,42951.10000000,42954.43000000,1707040199999,409,1707040140000,149501.20218080,0.43704000,18771.53135240,3.48064000,
42962.88000000,42962.88000000,0,42940.67000000,42951.11000000,1707040259999,614,1707040200000,736038.23404460,13.11799000,563485.63081800,17.13554000,
42970.06000000,42970.07000000,0,42962.87000000,42962.87000000,1707040319999,337,1707040260000,394456.52010240,7.68008000,329984.02091500,9.18050000,
42962.59000000,42970.07000000,0,42962.58000000,42970.07000000,1707040379999,375,1707040320000,331814.03092680,0.27631000,11872.23797870,7.72238000,
42976.20000000,42983.00000000,0,42960.50000000,42962.58000000,1707040439999,863,1707040380000,1579589.03563780,30.91387000,1328442.86212280,36.75776000,
42957.32000000,42978.44000000,0,42957.32000000,42976.19000000,1707040499999,1583,1707040440000,922053.93528910,6.82194000,293145.90768140,21.45757000,
42957.33000000,42957.33000000,0,42957.32000000,42957.33000000,1707040559999,213,1707040500000,55440.72200900,0.48170000,20692.54586100,1.29060000,
42950.01000000,42957.33000000,0,42950.00000000,42957.33000000,1707040619999,678,1707040560000,421256.06225570,1.38529000,59501.88285410,9.80700000,
42958.35000000,42958.36000000,0,42950.00000000,42950.00000000,1707040679999,608,1707040620000,388230.96914870,7.14811000,307031.90980370,9.03860000,
42952.32000000,42958.36000000,0,42952.31000000,42958.36000000,1707040739999,334,1707040680000,192074.28798440,0.52377000,22500.14631800,4.47127000,
42942.73000000,42952.32000000,0,42942.72000000,42952.32000000,1707040799999,850,1707040740000,379541.47641200,0.53571000,23007.70084720,8.83698000,
42941.15000000,42942.73000000,0,42941.14000000,42942.73000000,1707040859999,565,1707040800000,298544.70650890,1.77180000,76085.67281870,6.95220000,
42944.60000000,42944.61000000,0,42941.14000000,42941.15000000,1707040919999,301,1707040860000,182649.62101750,3.25477000,139767.48860870,4.25333000,
42944.60000000,42944.61000000,0,42944.60000000,42944.61000000,1707040979999,254,1707040920000,165322.55710390,1.88219000,80829.91549590,3.84967000,
42934.24000000,42944.61000000,0,42934.23000000,42944.60000000,1707041039999,367,1707040980000,625595.60646410,9.12748000,391915.67449220,14.56953000,
42932.62000000,42934.24000000,0,42922.08000000,42934.24000000,1707041099999,455,1707041040000,334527.39211780,4.61118000,197933.04164810,7.79319000,
42921.42000000,42932.63000000,0,42921.42000000,42932.62000000,1707041159999,339,1707041100000,284344.13736490,1.08714000,46662.63856890,6.62407000,
42921.38000000,42921.43000000,0,42921.38000000,42921.42000000,1707041219999,224,1707041160000,123914.94054590,0.36211000,15542.26547210,2.88702000,
42935.98000000,42935.98000000,0,42921.38000000,42921.38000000,1707041279999,386,1707041220000,568908.45478740,12.29220000,527696.39065320,13.25210000,
42912.71000000,42935.98000000,0,42912.70000000,42935.98000000,1707041339999,611,1707041280000,692642.84305230,1.58448000,68027.16995910,16.13468000,
42907.72000000,42912.71000000,0,42907.71000000,42912.71000000,1707041399999,298,1707041340000,184463.18915020,0.46999000,20166.42046080,4.29891000,
42919.50000000,42919.51000000,0,42907.71000000,42907.71000000,1707041459999,389,1707041400000,634207.98176910,14.13534000,606604.77344270,14.77853000,
42919.99000000,42920.00000000,0,42919.50000000,42919.50000000,1707041519999,215,1707041460000,126795.67834110,2.42860000,104235.26945210,2.95424000,
42905.15000000,42920.00000000,0,42905.14000000,42920.00000000,1707041579999,465,1707041520000,570048.77108560,1.01462000,43533.77968240,13.28263000,
42905.03000000,42905.15000000,0,42905.03000000,42905.15000000,1707041639999,291,1707041580000,558024.18382150,0.52469000,22511.88239870,13.00600000,
42905.14000000,42905.15000000,0,42905.03000000,42905.04000000,1707041699999,290,1707041640000,415322.08625940,6.16697000,264594.28199770,9.68002000,
42917.99000000,42919.51000000,0,42905.14000000,42905.15000000,1707041759999,489,1707041700000,1161652.62182110,19.21006000,824298.61062590,27.07037000,
42917.45000000,42918.03000000,0,42917.45000000,42917.99000000,1707041819999,269,1707041760000,218613.12638600,2.59085000,111194.12588160,5.09374000,
42909.59000000,42917.46000000,0,42909.58000000,42917.45000000,1707041879999,261,1707041820000,207433.44595540,1.65790000,71146.98809460,4.83363000,
42905.10000000,42909.59000000,0,42905.10000000,42909.59000000,1707041939999,361,1707041880000,93764.01860430,0.29019000,12451.21255580,2.18520000,
42902.97000000,42905.11000000,0,42902.96000000,42905.11000000,1707041999999,189,1707041940000,57137.07472470,0.31124000,13353.33921660,1.33174000,
42879.01000000,42902.97000000,0,42879.00000000,42902.96000000,1707042059999,974,1707042000000,720439.88324050,1.10539000,47405.72392260,16.79647000,
42878.86000000,42882.00000000,0,42878.85000000,42879.00000000,1707042119999,308,1707042060000,269243.96254570,4.05591000,173915.77828970,6.27899000,
42878.67000000,42878.86000000,0,42878.67000000,42878.86000000,1707042179999,208,1707042120000,101608.33956170,0.67468000,28929.39089680,2.36967000,
42891.11000000,42891.11000000,0,42878.67000000,42878.67000000,1707042239999,378,1707042180000,440995.04115300,9.10593000,390512.76072900,10.28300000,
42891.10000000,42891.11000000,0,42891.10000000,42891.11000000,1707042299999,157,1707042240000,87992.82213320,1.48392000,63646.97595120,2.05154000,
42883.67000000,42891.11000000,0,42883.66000000,42891.10000000,1707042359999,276,1707042300000,387509.25213700,0.47762000,20483.70326810,9.03497000,
