close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42904.77000000,42904.77000000,0,42904.77000000,42904.77000000,1707069253999,2,1707069253000,1035.29210010,0.00000000,0.00000000,0.02413000,
42904.77000000,42904.78000000,0,42904.77000000,42904.78000000,1707069254999,11,1707069254000,21567.80384710,0.50158000,21520.17955240,0.50269000,
42904.77000000,42904.78000000,0,42904.77000000,42904.77000000,1707069255999,226,1707069255000,42217.43560780,0.00232000,99.53908960,0.98398000,
42902.93000000,42904.77000000,0,42902.92000000,42904.77000000,1707069256999,671,1707069256000,100307.65202040,0.01230000,527.70970220,2.33794000,
42902.93000000,42902.93000000,0,42902.93000000,42902.93000000,1707069257999,3,1707069257000,2576.74997580,0.06006000,2576.74997580,0.06006000,
42902.92000000,42902.92000000,0,42902.92000000,42902.92000000,1707069258999,188,1707069258000,15805.43572800,0.00000000,0.00000000,0.36840000,
42902.93000000,42902.93000000,0,42902.92000000,42902.93000000,1707069259999,8,1707069259000,338.93313030,0.00623000,267.28525390,0.00790000,
42902.92000000,42902.92000000,0,42902.92000000,42902.92000000,1707069260999,15,1707069260000,9379.86539960,0.00000000,0.00000000,0.21863000,
42902.93000000,42902.93000000,0,42902.92000000,42902.93000000,1707069261999,3,1707069261000,521.69962600,0.01188000,509.68680840,0.01216000,
42900.71000000,42902.92000000,0,42900.71000000,42902.92000000,1707069262999,119,1707069262000,9254.50044150,0.00273000,117.12074010,0.21571000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069263999,2,1707069263000,47.61960320,0.00038000,16.30220900,0.00111000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069264999,5,1707069264000,25611.62828130,0.59013000,25316.90157150,0.59700000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069265999,7,1707069265000,75.93397350,0.00177000,75.93397350,0.00177000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069266999,2,1707069266000,101.24528640,0.00120000,51.48066000,0.00236000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069267999,4,1707069267000,319.18001920,0.00016000,6.86408800,0.00744000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069268999,5,1707069268000,737.03128460,0.00074000,31.74640700,0.01718000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069269999,7,1707069269000,759.76874050,0.01771000,759.76874050,0.01771000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069270999,6,1707069270000,602.75263230,0.00453000,194.33949150,0.01405000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069271999,2,1707069271000,332.05017960,0.00000000,0.00000000,0.00774000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069272999,4,1707069272000,386.10489990,0.00399000,171.17319450,0.00900000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069273999,4,1707069273000,555.13307660,0.00890000,381.81489500,0.01294000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069274999,1,1707069274000,21450.27500000,0.50000000,21450.27500000,0.50000000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069275999,3,1707069275000,3050.22840080,0.00068000,29.17237400,0.07110000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069276999,3,1707069276000,31.74640300,0.00034000,14.58618700,0.00074000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069277999,2,1707069277000,38.18148060,0.00000000,0.00000000,0.00089000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069278999,1,1707069278000,7.72209900,0.00018000,7.72209900,0.00018000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069279999,1,1707069279000,9.86712650,0.00023000,9.86712650,0.00023000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069280999,2,1707069280000,29.17236720,0.00000000,0.00000000,0.00068000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069281999,4,1707069281000,1230.81656250,0.00699000,299.87484450,0.02869000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069282999,2,1707069282000,39.03949520,0.00038000,16.30220900,0.00091000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069283999,1,1707069283000,2438.03768820,0.00000000,0.00000000,0.05683000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069284999,11,1707069284000,22902.88740800,0.51236000,21980.52579800,0.53386000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069285999,3,1707069285000,4434.20084140,0.10270000,4405.88648500,0.10336000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069286999,1,1707069286000,31.74640700,0.00074000,31.74640700,0.00074000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069287999,5,1707069287000,262.98033870,0.00285000,122.26656750,0.00613000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069288999,2,1707069288000,225.22783500,0.00000000,0.00000000,0.00525000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069289999,1,1707069289000,98.67124200,0.00000000,0.00000000,0.00230000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069290999,5,1707069290000,247.53611730,0.00015000,6.43508250,0.00577000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069291999,10,1707069291000,822.83235720,0.00000000,0.00000000,0.01918000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069292999,6,1707069292000,382.67288030,0.00635000,272.41849250,0.00892000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069293999,1,1707069293000,32.17540500,0.00000000,0.00000000,0.00075000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069294999,4,1707069294000,21488.02748400,0.50088000,21488.02748400,0.50088000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069295999,1,1707069295000,32.60441800,0.00076000,32.60441800,0.00076000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069296999,2,1707069296000,43.75855950,0.00087000,37.32347850,0.00102000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069297999,4,1707069297000,39.89751150,0.00093000,39.89751150,0.00093000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069298999,7,1707069298000,148.86490640,0.00326000,139.85579300,0.00347000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069299999,26,1707069299000,3813.85875350,0.07475000,3206.81611250,0.08890000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069300999,21,1707069300000,1395.98369950,0.01279000,548.69803450,0.03254000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069301999,2,1707069301000,71.21491150,0.00151000,64.77983050,0.00166000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069302999,5,1707069302000,124.41158550,0.00195000,83.65607250,0.00290000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069303999,2,1707069303000,74.64693960,0.00000000,0.00000000,0.00174000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069304999,5,1707069304000,21483.73742420,0.50030000,21463.14516500,0.50078000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069305999,0,1707069305000,0.00000000,0.00000000,0.00000000,0.00000000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069306999,14,1707069306000,864.01695220,0.00766000,328.61821300,0.02014000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069307999,4,1707069307000,1048.06041330,0.02211000,948.53116050,0.02443000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069308999,5,1707069308000,405.83919730,0.00889000,381.38588950,0.00946000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069309999,6,1707069309000,5491.26912000,0.00000000,0.00000000,0.12800000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069310999,5,1707069310000,784.65099440,0.01178000,505.36847900,0.01829000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069311999,3,1707069311000,648.22716320,0.00038000,16.30220900,0.01511000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069312999,0,1707069312000,0.00000000,0.00000000,0.00000000,0.00000000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069313999,7,1707069313000,1152.30876470,0.02603000,1116.70131650,0.02686000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069314999,6,1707069314000,21592.70482600,0.50332000,21592.70482600,0.50332000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069315999,4,1707069315000,211.49966800,0.00058000,24.88231900,0.00493000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069316999,13,1707069316000,13502.51910700,0.31474000,13502.51910700,0.31474000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069317999,8,1707069317000,258.69026570,0.00095000,40.75552250,0.00603000,
